               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.073382,            0.072095,            0.030397,             0.28658,              0.3016,             0.21969,            0.099799,            0.055131,            0.040747,            0.036953,            0.070069,           0.0033257,           0.0033257
                   1,            0.058294,            0.067983,            0.019211,             0.42903,             0.39146,             0.36056,             0.18578,            0.049943,            0.041327,            0.031598,            0.039937,           0.0065272,           0.0065272
                   2,            0.056169,            0.069658,            0.016862,              0.3472,             0.29281,             0.24701,             0.11587,             0.05299,            0.043321,            0.033282,           0.0096733,           0.0095966,           0.0095966
                   3,            0.056023,            0.073023,            0.017332,              0.4849,              0.3565,             0.35337,             0.17797,            0.051213,            0.042597,            0.038465,            0.009406,            0.009406,            0.009406
                   4,            0.053967,            0.070898,            0.015114,             0.47259,             0.36697,             0.37082,             0.20164,            0.047493,            0.040999,            0.028185,            0.009406,            0.009406,            0.009406
                   5,            0.052691,            0.069247,            0.014093,             0.52939,             0.42427,             0.42952,             0.23537,            0.047305,            0.041778,             0.02139,            0.009208,            0.009208,            0.009208
                   6,            0.051902,            0.068986,            0.013182,              0.5329,             0.43916,              0.4592,             0.25857,            0.046192,            0.040942,            0.019289,             0.00901,             0.00901,             0.00901
                   7,            0.051358,            0.069119,            0.011494,             0.49972,             0.42093,             0.41864,             0.23046,            0.046059,            0.040102,            0.026413,            0.008812,            0.008812,            0.008812
                   8,            0.050116,            0.067764,            0.011405,             0.58932,              0.4806,             0.52196,             0.30293,            0.044893,            0.039248,            0.016258,            0.008614,            0.008614,            0.008614
                   9,            0.049539,            0.065818,            0.010514,             0.59698,             0.49768,             0.53843,             0.31913,            0.044055,            0.039258,            0.017531,            0.008416,            0.008416,            0.008416
                  10,            0.049088,              0.0654,            0.010166,             0.61897,             0.52016,             0.56178,             0.33543,            0.042656,             0.03863,            0.015742,            0.008218,            0.008218,            0.008218
                  11,            0.048605,            0.065029,           0.0090774,              0.6024,             0.51006,             0.54931,             0.32564,            0.043169,             0.03848,            0.015826,             0.00802,             0.00802,             0.00802
                  12,            0.048466,            0.064681,           0.0088468,             0.63622,             0.52491,             0.57469,             0.34333,            0.042738,             0.03838,            0.013422,            0.007822,            0.007822,            0.007822
                  13,            0.048429,            0.064432,           0.0085718,             0.66774,             0.52683,             0.59678,             0.36996,            0.042134,            0.037548,            0.014945,            0.007624,            0.007624,            0.007624
                  14,            0.047805,            0.064503,           0.0084636,             0.62987,             0.54172,             0.58498,             0.35422,            0.042482,            0.037887,            0.014513,            0.007426,            0.007426,            0.007426
                  15,            0.047676,            0.063872,           0.0078527,             0.65927,             0.54765,              0.6082,             0.37666,            0.041582,            0.037129,            0.013665,            0.007228,            0.007228,            0.007228
                  16,            0.047398,            0.063711,           0.0074228,             0.68451,             0.56343,             0.63567,             0.40059,            0.041198,            0.036812,            0.011906,             0.00703,             0.00703,             0.00703
                  17,            0.046888,            0.062975,           0.0072224,             0.67777,             0.56832,             0.62709,             0.39493,            0.040791,            0.036758,            0.011964,            0.006832,            0.006832,            0.006832
                  18,            0.046405,             0.06399,           0.0069022,             0.70263,             0.57301,             0.64152,             0.40705,            0.040261,            0.036452,             0.01205,            0.006634,            0.006634,            0.006634
                  19,            0.046159,            0.062621,            0.006767,             0.70943,             0.57945,             0.65321,             0.41585,            0.040303,            0.036326,            0.010869,            0.006436,            0.006436,            0.006436
                  20,            0.046736,            0.063951,           0.0065778,             0.71311,             0.56983,             0.65078,             0.41375,            0.040682,            0.036352,            0.012305,            0.006238,            0.006238,            0.006238
                  21,            0.045803,             0.06146,           0.0063108,             0.71139,             0.58567,             0.65962,             0.41886,            0.040287,            0.036275,            0.010142,             0.00604,             0.00604,             0.00604
                  22,             0.04576,            0.061701,           0.0061375,             0.72473,             0.59551,             0.66973,             0.42973,            0.039861,              0.0359,            0.010152,            0.005842,            0.005842,            0.005842
                  23,            0.045269,            0.060452,           0.0058185,             0.72413,             0.58738,             0.67105,             0.43225,            0.039734,            0.036043,            0.010783,            0.005644,            0.005644,            0.005644
                  24,            0.044813,            0.060507,           0.0058733,             0.74538,             0.60868,             0.68894,              0.4497,            0.039133,            0.035608,            0.010215,            0.005446,            0.005446,            0.005446
                  25,            0.044864,            0.060216,           0.0054521,             0.74225,              0.6142,              0.6894,             0.44687,            0.039462,            0.035463,           0.0094108,            0.005248,            0.005248,            0.005248
                  26,            0.045423,            0.061709,            0.005577,             0.74675,             0.59416,             0.67861,             0.44101,            0.039507,            0.035595,            0.010054,             0.00505,             0.00505,             0.00505
